topic slug	topic title	topic type	wikipedia link	link audited	approval status	review note	comments
1-1-inch-guns	1.1-inch Guns	specific weapon system	https://en.wikipedia.org/wiki/1.1-inch/75-caliber_gun	yes	approved	Phase 2: The article identifies the American 1.1-inch/75 naval anti-aircraft gun, matching the alias and wartime replacement context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2022-06-15_T19-30-00_equitable-london-treaty-summary-long-patrol_96gP3IDCR0Q.json #north-carolina-and-capital-ship-limits. Additional context references: 1. Phase 2 independent review by audit_batch1; article revision 1360005623. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #1-1-inch-guns.
1-pounder-guns	1-Pounder Guns	specific weapon system	https://en.wikipedia.org/wiki/QF_1-pounder_pom-pom	yes	approved	Phase 2: The article identifies the 37 mm automatic one-pounder pom-pom, matching the authored Maxim lineage and early high-angle weapon contexts.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2026-06-07_T18-47-21_bruships-245-alternate-history-and-naval-history-questions-answered-live_5M0LeS3z9uU.json #bruships-245-maxim-one-pounder-pom-pom-lineage. Phase 2 independent review by audit_batch2; article revision 1369640377. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #1-pounder-guns.
155-mm-advanced-gun-system	155 mm Advanced Gun System	specific weapon system	https://en.wikipedia.org/wiki/Advanced_Gun_System	yes	approved	Phase 2: Article identifies the Zumwalt 155 mm Mark 51 Advanced Gun System for naval fire support ashore, matching the precise registry description.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2021-09-12_T16-55-43_bruships-a-special-questions-what-ifs-till-the-bru-runs-out-6_tEdcBtUwrvk.json #modern-twin-eight-inch-gun-performance. Additional context references: 1. Phase 2 independent review by audit_batch3; article revision 1369866755. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #155-mm-advanced-gun-system.
16-inch-50-calibre-mark-7-gun	16-inch/50-calibre Mark 7 Gun	specific weapon system	https://en.wikipedia.org/wiki/16-inch/50-caliber_Mark_7_gun	yes	approved	Phase 2: Article identifies the Iowa main-battery gun and planned Montana armament, exactly matching the registry summary.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-07-28_T18-00-08_montana-class-the-bulwarks-for-the-new-battle-line-key-ship-series-4-part-2_I5OAIwWrWEY.json #montana-machinery-range-and-fleet-command. Phase 2 independent review by audit_batch4; article revision 1369868771. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #16-inch-50-calibre-mark-7-gun.
16e-38-design	16e 38 Design	ship class		no	pending	No suitable article found for the Lion preliminary Design 16E/38 (also 16E-38). The Lion-class article contains no 16E designation, and broader Lion coverage does not identify this specific twelve-16-inch-gun preliminary design.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2025-11-22_T21-34-28_36hrs-live-historiophon-2025-p7-of-9-supplying-churchill-s-christmas-present-battle-of-cape-bon_s3C3EtVGBA0.json #s3c3-conqueror-lion-design-16e38. Supporting or alternative sources: https://en.wikipedia.org/wiki/Lion-class_battleship.
17-pounder-guns	17-Pounder Guns	specific weapon system	https://en.wikipedia.org/wiki/Ordnance_QF_17-pounder	yes	approved	Phase 2: Article identifies the British QF 17-pounder antitank gun, matching the authored landing-craft armament contexts.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2020-04-30_T16-59-20_a-question-of-getting-there-landing-craft-and-amphibious-warfare-part-1_jZz24qJM3ks.json #far-east-lct-and-heavy-gun-craft. Additional context references: 1. Phase 2 independent review by audit_batch5; article revision 1357883216. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #17-pounder-guns.
18-1-inch-46-calibre-guns	18.1-inch/46-calibre Guns	specific weapon system		no	pending	Identity/designation hold: the sole authored context is a game reconstruction of Yamato using 18-inch, 46-calibre guns. Historical Yamato's article is 46 cm/45 Type 94 naval gun. The explicit L/46 topic and game configuration cannot be silently replaced with the historical L/45 gun; no exact L/46 article was found.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-02-28_T19-00-01_uad-18in-gun-agincourt-and-other-ideas_1QrqXAlsQLs.json #reconstructing-yamato-for-comparison. Supporting or alternative sources: https://en.wikipedia.org/wiki/46_cm/45_Type_94_naval_gun.
18-inch-42-calibre-guns	18-inch/42-calibre Guns	specific weapon system		no	pending	No suitable article found for the 18-inch/42-calibre game gun. Authored context explicitly calls the Agincourt configuration a historically constrained thought experiment, not a documented design. The British BL 18-inch Mk I is L/40, a different weapon specification.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-02-28_T19-00-01_uad-18in-gun-agincourt-and-other-ideas_1QrqXAlsQLs.json #eighteen-inch-agincourt-armour-scaling. Supporting or alternative sources: https://en.wikipedia.org/wiki/BL_18-inch_Mk_I_naval_gun.
1931-carrier-design	1931 Carrier Design	ship class		no	pending	No suitable article found for the specific 1931 Royal Navy carrier study. Search results connect 1931 development to Ark Royal, but the completed ship article does not make the specific earlier 60-aircraft proposal its subject.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2025-11-29_T19-30-06_more-lessons-of-never-built-carriers_BdirGlBLf8E.json #royal-navy-1931-carrier-study. Additional context references: 1. Supporting or alternative sources: https://en.wikipedia.org/wiki/HMS_Ark_Royal_(91).
1945-destroyer-project	1945 Destroyer Project	ship class	https://en.wikipedia.org/wiki/Type_1945_destroyer	yes	approved	Phase 2: The article describes the unbuilt German Type 1945 destroyer project and return to steam propulsion, matching the authored late-war design.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2026-07-28_T18-30-06_nazi-destroyers-of-wwii-failing-to-learn-failing-to-build-failing-to-deliver_zWd9vpPxyuc.json #1945-project-the-right-lessons-at-the-wrong-time. Phase 2 independent review by audit_batch2; article revision 1327746407. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #1945-destroyer-project.
